공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
Google Cloud Platform API 연계 개발자 모집합니다.,(주)이원정보기술,수정일 23/09/27,~ 10/13(금),경기 성남시 분당구,경력 1~3년,대졸↑,프리랜서,,"GCP, AWS, Java, Azure, Javascript 외 수정일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46610061&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=338b70fc-5cbc-4433-bd91-a76423a6d83b
[토스플레이스] Data Engineer,(주)비바리퍼블리카,등록일 23/09/05,채용시,서울 강남구,경력,학력무관,정규직,,"GCP, 메타버스, Python, 모델링, 모의해킹 외 등록일 23/09/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46512866&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=338b70fc-5cbc-4433-bd91-a76423a6d83b
[토스플레이스] Data Engineer,(주)비바리퍼블리카,등록일 23/09/05,채용시,서울 강남구,경력,학력무관,정규직,,"GCP, 메타버스, Python, 모델링, 모의해킹 외 등록일 23/09/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46512866&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
웹/앱 프론트엔드 개발자 (경력),(주)리빌더에이아이,수정일 23/09/13,~ 10/13(금),서울 서초구,경력 2~8년,대졸↑,정규직·계약직,,"GCP, Python, React, AWS, 클라우드 외 수정일 23/09/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46577475&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
[월급쟁이부자들(월부)] 백엔드개발 리드,월급쟁이부자들(주),등록일 23/09/13,~ 10/13(금),서울 서초구,경력 7~20년,대졸↑,정규직,,"GCP, Kotlin, AWS, Java, 인프라 외 등록일 23/09/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46577429&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
보안 장비 및 솔루션 운영(서울),(주)프라임엔시스템,등록일 23/09/25,~ 10/25(수),서울 강서구,경력무관,학력무관,정규직,,"GCP, 유지보수, S/W, AWS, 클라우드 외 등록일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46645516&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
[베스핀글로벌 관계사] 금융 보안 엔지니어 영입,베스핀글로벌(주),수정일 23/09/06,채용시,서울 서초구,경력3년↑,대졸↑,정규직,,"GCP, ISMS, AWS, 클라우드, Azure 외 수정일 23/09/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46500765&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
[10년차 Pre-IPO 벤처기업] 시니어 백엔드 개발자 채용,(주)아이엔지스토리,수정일 23/10/04,~ 10/16(월),서울 강남구,경력5년↑,학력무관,정규직,,"GCP, 웹마스터, Spring, SpringBoot, MariaDB 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46526797&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
AI Ops / AI 모델개발 엔지니어,(주)제로원에이아이,수정일 23/06/22,상시채용,경기전체,경력 3~10년,학력무관,정규직,,"GCP, AI(인공지능), Python, API, Kafka 외 수정일 23/06/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45981895&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
보안 웹하드 솔루션/서비스 BackEnd 개발자,(주)지란지교시큐리티,등록일 23/09/13,~ 10/13(금),경기 성남시 수정구,경력3년↑,학력무관,정규직,,"GCP, Redis, MariaDB, Python, Django 외 등록일 23/09/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46576342&location=ts&searchword=gcp&searchType=search&paid_fl=n&search_uuid=00929542-379d-4d98-9ee3-44c61fb6cb9e
