공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
딥카디오와 함께 할 AI Engineer를 모십니다.,딥카디오 주식회사,수정일 23/09/27,채용시,인천 연수구,경력무관,대졸↑,정규직,"4,500 만원","머신러닝, Keras, Tensorflow, 의료기기연구, 딥러닝 외 수정일 23/09/27",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46501257&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
AI Engineer : 의료영상 알고리즘 개발 (전문연구요원 가능),(주)테서,등록일 23/08/24,상시채용,서울 강남구,경력무관,대졸↑,정규직·전문연구요원,,"머신러닝, Keras, 알고리즘, R, Tensorflow 외 등록일 23/08/24",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46432992&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
하나증권 경력직 인재채용,하나증권(주),수정일 23/10/06,~ 10/15(일),서울 영등포구,경력,학력무관,계약직,,"머신러닝, 웹마스터, Android, 모델링, 금융상품영업 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46702096&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
보안검색장비 소프트웨어 설계 인재 모집,(주)에스에스티랩,등록일 23/10/10,~ 12/09(토),경기 성남시 분당구,경력무관,학력무관,정규직,,"머신러닝, MFC, 알고리즘, S/W, 클라우드 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46727366&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
[개발자 채용]연애IT기업 럽디(주) 프론트앤드 개발자 모집,럽디(주),등록일 23/09/01,~ 10/31(화),서울 관악구,경력3년↑,학력무관,정규직,,"머신러닝, React, 빅데이터, 웹개발, 컨텐츠제공 등록일 23/09/01",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46486682&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
[베스텔라랩] 측위 S/W 개발자(경기/대구)(병특가능),(주)베스텔라랩,등록일 23/09/26,~ 10/16(월),경기전체,경력 2~15년,초대졸↑,정규직,,"머신러닝, S/W, Spring, SpringBoot, SQL 외 등록일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46654565&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
(주)에이아이딥 연구소 전문연구요원(병역특례) 채용,(주)에이아이딥,등록일 23/09/11,~ 11/10(금),서울 강남구,경력무관,석사↑,정규직·전문연구요원,,"머신러닝, AI(인공지능), NLP(자연어처리), NLU(자연어이해), Python 외 등록일 23/09/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46550675&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
[면접비] 영상처리 S/W 개발자 영입(경기/청주),(주)트윔,등록일 23/09/25,~ 10/25(수),충북 청주시 청원구,신입·경력,초대졸↑,정규직,,"머신러닝, 유지보수, 광학/렌즈, SpringBoot, H/W 외 등록일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46650740&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
자율주행 Software Engineer ,(주)에이모,등록일 23/08/03,상시채용,경기전체,경력 5~10년,석사↑,정규직,,"머신러닝, S/W, AI(인공지능), Python, Pytorch 외 등록일 23/08/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46282233&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
[인공지능/클라우드] 프리세일즈 경력 채용,(주)에이프리카,등록일 23/10/10,~ 10/22(일),서울 성동구,경력 3~15년,대졸↑,정규직,,"IT영업, 소프트웨어개발 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46725549&location=ts&searchword=%EB%A8%B8%EC%8B%A0%EB%9F%AC%EB%8B%9D&searchType=search&paid_fl=n&search_uuid=7306f67f-6923-4365-b1b1-83c4fdf66032
