공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
판교연구소 소프트웨어 개발자를 모십니다.,(주)마젠타로보틱스,등록일 23/09/18,채용시,경기 성남시 분당구,경력무관,학력무관,정규직,,"자율주행, SI개발, Linux, Python, Ubuntu 외 등록일 23/09/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46603457&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
[베스텔라랩] 측위 S/W 개발자(경기/대구)(병특가능),(주)베스텔라랩,등록일 23/09/26,~ 10/16(월),경기전체,경력 2~15년,초대졸↑,정규직,,"백엔드/서버개발, 웹개발, SE(시스템엔지니어), 인프라, S/W 외 등록일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46654565&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
2023 로봇 관리/제어 소프트웨어 개발자 신입/경력 채용,(주)힐스로보틱스,등록일 23/10/04,~ 11/03(금),경기 성남시 수정구,신입·경력,대졸↑,정규직,,"Windows, C#, C++, C언어, Linux 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46681283&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
[신입/경력] 소프트웨어 개발 관리 담당자 모집 (판교),(주)건우솔루션,수정일 23/10/12,오늘마감,경기 성남시 분당구,신입·경력,초대졸↑,정규직,,"QA/테스터, 임베디드, S/W, C++, 솔루션 외 수정일 23/10/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46562103&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
안드로이드 개발자 채용,(주)에바,수정일 23/08/14,상시채용,경기전체,경력 1~3년,학력무관,정규직,,"앱개발, 웹개발, 프론트엔드, Android, Flutter 외 수정일 23/08/14",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45797717&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
RF커넥터개발 경력사원(팀장급) 모집,(주)센서뷰,등록일 23/09/08,~ 10/29(일),경기 화성시,경력무관,학력무관,정규직,,"자율주행, 정보통신, 연구원, R&D, 회로설계 외 등록일 23/09/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46539853&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
Vehicle Application SW Engineer(Connectivity),포티투닷(주),등록일 23/06/30,상시채용,서울 강남구,경력 3~10년,대졸↑,정규직,,"S/W, C++, C언어, S/W, 네트워크 외 등록일 23/06/30",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46045944&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
임베디드 MCU 펌웨어 개발자,(주)트리즈엔지니어링,수정일 23/06/12,상시채용,경기전체,경력 2~10년,초대졸↑,정규직,,"임베디드, 펌웨어, H/W, MCU, C언어 외 수정일 23/06/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=45759945&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
SOC RTL Verification 검증 신입 & 경력 엔지니어,(주)보스반도체,등록일 23/09/19,~ 10/19(목),경기 성남시 분당구,경력3년↑,대졸↑,정규직,,"자율주행, SI개발, 아키텍쳐, C++, Python 외 등록일 23/09/19",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46616073&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
[현대차그룹 스핀오프] Localization & Tracking Engineer,모빈(주),등록일 23/09/20,상시채용,경기 수원시 영통구,경력무관,석사↑,정규직,,"자율주행, 자율주행, C++, Linux, Python 외 등록일 23/09/20",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46617130&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
차량용 기능안전 Functional Safety SW Engineer,(주)보스반도체,등록일 23/10/03,~ 10/31(화),경기 성남시 분당구,경력5년↑,대졸↑,정규직,,"자율주행, SI개발, 아키텍쳐, C++, Python 외 등록일 23/10/03",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46675633&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=2d323f46-673a-4bf4-8516-e52059e1c029
차량 단말기 인스톨러(설치 및 유지보수) 모집 (지방),(주)아이앤카코퍼레이션,수정일 23/10/04,~ 10/27(금),경기 안양시 동안구,경력무관,고졸↑,정규직·프리랜서,,"유지보수, 정비기사, A/S기사, 썬팅, 자동차튜닝 외 수정일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46668885&location=ts&searchword=%EC%9E%90%EC%9C%A8%EC%A3%BC%ED%96%89&searchType=search&paid_fl=n&search_uuid=cec7e311-f751-442d-a619-1d9c60352c1b
