공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
mo[중소/글로벌/실리콘밸리/머신러닝]lo 데이타 사이언티스트,(주)에이치알글로벌네트워크,수정일 23/10/13,~ 10/26(목),서울 강남구,경력 5~20년,석사↑,정규직,,"데이터시각화, 딥러닝, 머신러닝, Python, SQL 외 수정일 23/10/13",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46744441&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=ad3c9cf2-c2eb-4a29-84ac-899ed1798c81
[한빗코] Business Development Manager 사업기획/사업개발,주식회사 한빗코코리아,수정일 23/10/05,채용시,서울 강남구,경력5년↑,대졸↑,정규직,,"사업개발, 사업관리, 사업제휴, 신사업기획, 신사업발굴 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46702715&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=ad3c9cf2-c2eb-4a29-84ac-899ed1798c81
[광고사업부] 카피라이터 채용,매드업,등록일 23/10/04,~ 10/31(화),서울 서초구,경력 2~7년,학력무관,정규직,,"CW(카피라이터), 온라인마케팅, CW(카피라이터), IMC, 광고디자인 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46678858&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=56991fc1-c129-4aab-b1b2-09688f078bec
2023년 메디허브 디지털 마케팅 팀장 경력직 채용,주식회사 메디허브,수정일 23/10/10,~ 10/30(월),서울 서초구,경력10년↑,대졸↑,정규직,,"마케팅기획, 마케팅전략, 콘텐츠기획, 광고마케팅, 콘텐츠마케팅 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46606071&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=56991fc1-c129-4aab-b1b2-09688f078bec
[광고사업부] 글로벌 퍼포먼스 마케터(AE) 채용,매드업,등록일 23/10/04,~ 10/31(화),서울 서초구,경력 1~10년,대졸↑,정규직,,"AE(광고기획자), 미디어플래너, 온라인마케팅, 키워드광고, 광고기획 외 등록일 23/10/04",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46678829&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=56991fc1-c129-4aab-b1b2-09688f078bec
[광고사업부] 미디어렙 부분 경력 매니저(AE) 채용,매드업,수정일 23/10/05,~ 10/31(화),서울 서초구,경력 1~3년,대졸↑,정규직,,"AE(광고기획자), 미디어플래너, 온라인마케팅, 키워드광고, 광고기획 외 수정일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46700082&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=56991fc1-c129-4aab-b1b2-09688f078bec
Person In Plant MS&T (Senior Scientist),(유)한국비엠에스제약,수정일 23/09/22,채용시,서울 강남구,경력3년↑,대졸↑,정규직,,"세포배양, 제약/바이오, 제약/바이오, 의약·제약 수정일 23/09/22",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46408933&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=56991fc1-c129-4aab-b1b2-09688f078bec
[외국계 상위권 제약사] APAC Real World Evidence Scientist,(주)맨파워그룹코리아,등록일 23/10/12,~ 11/11(토),서울 강남구,경력 1~15년,대졸↑,정규직,,"간호사, 수의사, 약사, CRC(연구간호사), 생명과학 외 등록일 23/10/12",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46752061&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=56991fc1-c129-4aab-b1b2-09688f078bec
데이터 사이언티스트 (전문연구요원 가능),브이젠(주),등록일 23/08/18,상시채용,서울 강남구,신입·경력,대졸↑,정규직,,"데이터분석가, 웹개발, SE(시스템엔지니어), 데이터마이닝, 데이터시각화 외 등록일 23/08/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46387092&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=56991fc1-c129-4aab-b1b2-09688f078bec
"데이터 사이언티스트, 엔지니어",(주)스튜디오랩,등록일 23/06/28,상시채용,서울 강남구,경력 1~9년,학력무관,정규직,,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발, SE(시스템엔지니어) 외 등록일 23/06/28",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46028988&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EC%82%AC%EC%9D%B4%EC%96%B8%ED%8B%B0%EC%8A%A4%ED%8A%B8&searchType=search&paid_fl=n&search_uuid=56991fc1-c129-4aab-b1b2-09688f078bec
