공고명,회사명,등록일,지원마감일,근무지역,경력,학력,근무형태,"급여(월급,연봉)",직무분야,링크
생산본부/본사 각 분야 기능직 및 사무직 사원 채용,(주)와이지-원,수정일 23/10/08,~ 11/06(월),인천 계양구,신입·경력,학력무관,정규직,,"SAP, ABAP, C#, Java, 전산회계 외 수정일 23/10/08",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46695016&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
[핀테크] 2023 지머니트랜스 하반기 신입/경력 채용,지머니트랜스(주),등록일 23/10/10,~ 10/20(금),서울 종로구,경력무관,학력무관,정규직·계약직,,"총무, 컴플라이언스, 사무행정, 자산관리, OA 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46724926&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
[한국경제신문/충정로/250만이상] 미술전시 코디네이터 모집,(주)엠제이플렉스,수정일 23/10/10,채용시,서울 중구,경력무관,학력무관,파견직,252 만원,"GRO(컨시어지), 고객응대, 리포터, 큐레이터, 크리에이터 외 수정일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46722860&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
(주)모베이스전자 글로벌영업 경력 모집,(주)모베이스전자,수정일 23/10/06,채용시,경기 수원시 권선구,신입·경력,대졸↑,정규직,,"영업관리, 해외시장개척, 해외영업, 해외영업관리, 해외영업지원 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46704954&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
[비나우] 글로벌 인턴 (마케팅 & 운영) 채용,(주)비나우,등록일 23/09/25,상시채용,서울 서초구,신입,대졸↑,인턴직,275 만원,"화장품판매, 화장품, 마케팅기획, 인플루언서마케팅, SNS마케팅 외 등록일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46651077&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
한국어 교재 기획 편집 신입 및 경력 사원 모집,(주)시사북스,등록일 23/09/21,~ 10/21(토),서울 종로구,신입·경력,대졸↑,정규직,,"한국어, 영어, 일본어, 중국어, 편집 외 등록일 23/09/21",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46626694&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
"[믹순] 마케팅팀장/인턴,해외영업매니저/인턴,BM,오프라인MD 채용",(주)파켓,수정일 23/10/06,~ 10/31(화),서울 강남구,신입·경력,대졸↑,정규직·계약직,,"영업직, 영업마케팅, 해외영업, 해외영업관리, 오프라인MD 외 수정일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46490540&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
리빙브랜드 마틸라 온라인 MD(입점몰)부문 [경력] 채용,주식회사 더메종,수정일 23/10/11,~ 10/31(화),서울 성동구,경력 2~5년,학력무관,정규직,,"온라인판매, 쇼핑몰관리, 기획MD, 브랜드MD, 온라인MD 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46568168&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
해외영업팀 팀원 채용,(주)엑셀세라퓨틱스,수정일 23/09/26,~ 10/26(목),서울 강남구,신입·경력,대졸↑,정규직,,"기술영업, 영업관리, 영업지원, 영업직, 영업마케팅 외 수정일 23/09/26",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46657617&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
"연구소, 영업, 품질, 생산, 인사부문 신입사원모집",(주)아젠컴,수정일 23/10/09,~ 12/03(일),경기 시흥시,경력무관,대졸↑,정규직,,"영업관리, 생산관리, 품질관리, 생산, 인사 외 수정일 23/10/09",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46681210&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
카이로스 2023년 신입사원 수시 채용(포워딩) 사세확장,주식회사 카이로스엘엘씨,등록일 23/10/06,~ 12/05(화),부산 영도구,경력무관,대졸↑,정규직,"3,000 (면접 후 협의)","포워더, 해상무역, 무역영어, 물류관리, 국제물류 외 등록일 23/10/06",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46704708&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
카이로스 2023년 경력사원 수시 채용(포워딩) 사세확장,주식회사 카이로스엘엘씨,등록일 23/10/10,~ 11/09(목),부산 영도구,경력1년↑,대졸↑,정규직,"3,600 만원","포워더, 해상무역, 무역영어, 물류관리, 국제물류 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46725768&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
해외사업팀 신입 및 경력 모집,(주)덱스레보,수정일 23/10/11,~ 10/15(일),서울 강남구,신입·경력,대졸↑,정규직,,"무역MR, 영업관리, 영업지원, 영업직, 영업MD 외 수정일 23/10/11",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46703003&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
온라인 마케팅 디자이너 계약직 (정규직전환가능),구정마루(주),등록일 23/10/10,~ 12/04(월),서울 강남구,경력무관,초대졸↑,계약직,,"SNS, 영상디자이너, SNS마케팅, 광고마케팅, 디지털마케팅 외 등록일 23/10/10",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46723869&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
[시원스쿨] 웹퍼블리셔 채용,(주)에스제이더블유인터내셔널,등록일 23/10/05,~ 10/18(수),서울 영등포구,경력무관,학력무관,정규직,,"퍼블리셔, 웹표준·웹접근성, Git, Javascript, ISMS 외 등록일 23/10/05",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46695358&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=f869d10c-7edf-467d-a9a6-1153466de637
[시원스쿨] 유럽어(히브리어/라틴어/포르투갈어 등) 강사 채용,(주)에스제이더블유인터내셔널,수정일 23/08/18,~ 10/17(화),서울 영등포구,경력무관,대졸↑,계약직·프리랜서,,"제2외국어, 원어민강사, 어학원, 촬영, 유튜브 외 수정일 23/08/18",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46383882&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
[비나우] 글로벌 인턴 (마케팅 & 운영) 채용,(주)비나우,등록일 23/09/25,상시채용,서울 서초구,신입,대졸↑,인턴직,275 만원,"화장품판매, 화장품, 마케팅기획, 인플루언서마케팅, SNS마케팅 외 등록일 23/09/25",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=46651077&location=ts&searchword=%ED%94%84%EB%9E%91%EC%8A%A4%EC%96%B4&searchType=search&paid_fl=n&search_uuid=c385f6f8-9c51-4f28-946f-d799728aad18
